Entity Name,Entity ID,Fiscal Year,Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Secured and Unsecured Property Taxes_General Revenues_Taxes,Secured and Unsecured Property Taxes_Total Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_General Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Total Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Functional Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_General Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Total Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Property Taxes – Prior_Functional Revenues_Taxes,Property Taxes – Prior_General Revenues_Taxes,Property Taxes – Prior_Total Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Functional Revenues_Taxes,Supplemental Roll Property Taxes – Prior_General Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Total Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Functional Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_General Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Total Revenues_Taxes,Residual Property Taxes (ABX1 26)_Functional Revenues_Taxes,Residual Property Taxes (ABX1 26)_General Revenues_Taxes,Residual Property Taxes (ABX1 26)_Total Revenues_Taxes,Parcel Tax_Functional Revenues_Taxes,Parcel Tax_General Revenues_Taxes,Parcel Tax_Total Revenues_Taxes,Other Property Taxes_Functional Revenues_Taxes,Other Property Taxes_General Revenues_Taxes,Other Property Taxes_Total Revenues_Taxes,"Interest, Penalties, and Delinquent Taxes_Functional Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_General Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_Total Revenues_Taxes",Sales and Use Taxes_Functional Revenues_Taxes,Sales and Use Taxes_General Revenues_Taxes,Sales and Use Taxes_Total Revenues_Taxes,Transportation Taxes – Transit_Functional Revenues_Taxes,Transportation Taxes – Transit_Total Revenues_Taxes,Transportation Taxes – Nontransit_Functional Revenues_Taxes,Transportation Taxes – Nontransit_Total Revenues_Taxes,Transient Occupancy Taxes_Functional Revenues_Taxes,Transient Occupancy Taxes_General Revenues_Taxes,Transient Occupancy Taxes_Total Revenues_Taxes,Franchises_Functional Revenues_Taxes,Franchises_General Revenues_Taxes,Franchises_Total Revenues_Taxes,Business License Taxes_Functional Revenues_Taxes,Business License Taxes_General Revenues_Taxes,Business License Taxes_Total Revenues_Taxes,Real Property Transfer Taxes_Functional Revenues_Taxes,Real Property Transfer Taxes_General Revenues_Taxes,Real Property Transfer Taxes_Total Revenues_Taxes,Utility Users Taxes_Functional Revenues_Taxes,Utility Users Taxes_General Revenues_Taxes,Utility Users Taxes_Total Revenues_Taxes,Construction Development Taxes_Functional Revenues_Taxes,Construction Development Taxes_General Revenues_Taxes,Construction Development Taxes_Total Revenues_Taxes,Admission Tax_Functional Revenues_Taxes – Other,Admission Tax_General Revenues_Taxes – Other,Admission Tax_Total Revenues_Taxes – Other,Parking Tax_Functional Revenues_Taxes – Other,Parking Tax_Total Revenues_Taxes – Other,Employers Payroll Tax_General Revenues_Taxes – Other,Employers Payroll Tax_Total Revenues_Taxes – Other,Other Taxes – Other (Specify)_Functional Revenues_Taxes – Other,Other Taxes – Other (Specify)_General Revenues_Taxes – Other,Other Taxes – Other (Specify)_Total Revenues_Taxes – Other,Total Taxes_Functional Revenues_,Total Taxes_General Revenues_,Total Taxes_Total Revenues_
Atherton,1147,2020,NULL,9856986,9856986,NULL,NULL,NULL,NULL,1196646,1196646,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,260617,260617,NULL,NULL,656269,656269,NULL,NULL,NULL,NULL,922512,922512,NULL,266322,266322,NULL,444416,444416,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2003683,2046641,4050324,2659952,14994140,17654092
Atwater,1148,2020,NULL,2325220,2325220,NULL,52543,52543,NULL,2961236,2961236,NULL,NULL,NULL,NULL,NULL,2286,2286,NULL,NULL,NULL,NULL,NULL,NULL,204241,NULL,204241,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3332496,3332496,NULL,NULL,NULL,NULL,NULL,52861,52861,NULL,834600,834600,NULL,198416,198416,NULL,79693,79693,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3609712,182281,3791993,3813953,10021632,13835585
Auburn,1149,2020,NULL,3132788,3132788,NULL,NULL,NULL,NULL,1166628,1166628,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6064994,6064994,526359,526359,586975,586975,NULL,280917,280917,NULL,813766,813766,NULL,203763,203763,NULL,73269,73269,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1113334,11736125,12849459
Avalon,1150,2020,NULL,240263,240263,NULL,NULL,NULL,NULL,378403,378403,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,574295,574295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5503,5503,NULL,839099,839099,1289060,1289060,NULL,NULL,NULL,4500627,4500627,NULL,131878,131878,NULL,148509,148509,NULL,24018,24018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,466505,466505,NULL,NULL,NULL,NULL,NULL,834670,834670,1289060,8143770,9432830
Avenal,1151,2020,NULL,270513,270513,NULL,8224,8224,NULL,2068418,2068418,NULL,NULL,NULL,NULL,NULL,2592,2592,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,309517,309517,NULL,NULL,290332,290332,NULL,4499,4499,NULL,310977,310977,NULL,15842,15842,NULL,5103,5103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1156,1156,290332,2996841,3287173
Azusa,1152,2020,NULL,5433485,5433485,NULL,75768,75768,NULL,6153353,6153353,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63575,63575,NULL,19724,19724,NULL,7472057,7472057,NULL,NULL,NULL,NULL,NULL,765096,765096,NULL,6208469,6208469,NULL,2070581,2070581,NULL,130250,130250,NULL,3267346,3267346,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3033285,218945,3252230,3033285,31878649,34911934
Bakersfield,1153,2020,NULL,48923465,48923465,NULL,949284,949284,NULL,33751365,33751365,NULL,NULL,NULL,NULL,NULL,62402,62402,NULL,136709,136709,NULL,1426787,1426787,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,308766,308766,NULL,72053573,72053573,74940,74940,127451,127451,NULL,8913147,8913147,NULL,11665204,11665204,NULL,3900858,3900858,NULL,1341620,1341620,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74465956,74465956,202391,257899136,258101527
Baldwin Park,1154,2020,NULL,4725368,4725368,NULL,NULL,NULL,NULL,8696757,8696757,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,533701,NULL,533701,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6606578,6606578,4678693,4678693,NULL,NULL,NULL,619476,619476,NULL,2616667,2616667,NULL,554842,554842,NULL,144527,144527,NULL,2376425,2376425,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36250,NULL,36250,5248644,26340640,31589284
Banning,1155,2020,NULL,2773670,2773670,NULL,31687,31687,NULL,2577883,2577883,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3362395,3362395,NULL,NULL,653398,653398,NULL,804389,804389,NULL,976127,976127,NULL,176715,176715,NULL,106381,106381,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,324574,324574,653398,11133821,11787219
Barstow,1156,2020,NULL,4505849,4505849,NULL,37615,37615,NULL,2207282,2207282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14941,14941,NULL,NULL,NULL,NULL,1746718,1746718,NULL,NULL,NULL,NULL,676902,676902,NULL,9051,9051,NULL,6172671,6172671,NULL,NULL,2022204,2022204,NULL,2846745,2846745,NULL,1077373,1077373,NULL,220930,220930,NULL,64808,64808,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7427250,7427250,2022204,27008135,29030339
Beaumont,1157,2020,NULL,5073994,5073994,NULL,NULL,NULL,NULL,4997852,4997852,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6420136,6420136,NULL,NULL,NULL,NULL,NULL,278504,278504,NULL,8107651,8107651,NULL,342702,342702,NULL,356962,356962,NULL,1650094,1650094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000099,NULL,1000099,1000099,27227895,28227994
Bell,1158,2020,NULL,811408,811408,NULL,NULL,NULL,NULL,4261260,4261260,4464654,4464654,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4057,4057,NULL,NULL,NULL,NULL,NULL,NULL,NULL,486192,486192,NULL,15297,15297,NULL,2639765,2639765,NULL,NULL,341448,341448,NULL,364612,364612,NULL,753457,753457,NULL,469447,469447,NULL,25990,25990,NULL,2919668,2919668,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4806102,12751153,17557255
Bell Gardens,1159,2020,NULL,1244337,1244337,NULL,NULL,NULL,NULL,4867573,4867573,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,236556,236556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2902461,2902461,1589838,1589838,1101859,1101859,NULL,595441,595441,NULL,855197,855197,NULL,255447,255447,NULL,40797,40797,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73605,11231347,11304952,2765302,22229156,24994458
Bellflower,1160,2020,NULL,3526203,3526203,NULL,NULL,NULL,NULL,8574926,8574926,19962,19962,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18678,18678,NULL,182259,182259,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6235613,6235613,6236410,6236410,NULL,NULL,NULL,691174,691174,NULL,1815961,1815961,NULL,1743122,1743122,NULL,202857,202857,NULL,2799195,2799195,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,113019,NULL,113019,6369391,25789988,32159379
Belmont,1161,2020,NULL,4404185,4404185,NULL,138626,138626,NULL,3055460,3055460,10183535,10183535,2758082,2758082,NULL,-2995,-2995,NULL,NULL,NULL,NULL,1411904,1411904,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36442,36442,NULL,NULL,NULL,NULL,3000438,3000438,NULL,NULL,2695142,2695142,NULL,3793530,3793530,NULL,1383475,1383475,NULL,921183,921183,NULL,241880,241880,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,304049,1148239,1452288,15940808,19532367,35473175
Belvedere,1162,2020,NULL,4948101,4948101,NULL,105830,105830,NULL,275314,275314,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89884,89884,NULL,NULL,60967,60967,NULL,NULL,NULL,NULL,189601,189601,NULL,72352,72352,NULL,56828,56828,NULL,NULL,NULL,262130,NULL,262130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17214,491186,508400,340311,6229096,6569407
Benicia,1163,2020,NULL,16236863,16236863,NULL,352741,352741,NULL,2428298,2428298,NULL,NULL,217,217,NULL,-8309,-8309,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6258681,6258681,NULL,NULL,NULL,NULL,NULL,441629,441629,NULL,2345123,2345123,NULL,457205,457205,NULL,137072,137072,NULL,5002314,5002314,101742,NULL,101742,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6151900,33658,6185558,6253859,33685275,39939134
Berkeley,1164,2020,NULL,66480632,66480632,NULL,2971350,2971350,NULL,13356044,13356044,9462112,9462112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16922319,16922319,NULL,NULL,7491772,7491772,NULL,7040883,7040883,NULL,1972163,1972163,NULL,27315844,27315844,NULL,31410128,31410128,NULL,13557384,13557384,NULL,NULL,NULL,NULL,NULL,NULL,636718,636718,NULL,NULL,2332813,1446655,3779468,19923415,182473402,202396817
Beverly Hills,1165,2020,NULL,60431236,60431236,NULL,NULL,NULL,NULL,5257957,5257957,9027847,9027847,NULL,NULL,NULL,1466794,1466794,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,175658,175658,NULL,30463169,30463169,1377796,1377796,413440,413440,NULL,30523662,30523662,NULL,1166298,1166298,NULL,54051623,54051623,NULL,1240336,1240336,NULL,NULL,NULL,4044514,76379,4120893,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,167161,167161,14863597,185020273,199883870
Big Bear Lake,1166,2020,NULL,3069283,3069283,NULL,44686,44686,NULL,620614,620614,NULL,NULL,NULL,NULL,NULL,48,48,NULL,25512,25512,NULL,NULL,NULL,NULL,775451,775451,NULL,NULL,NULL,NULL,6227191,6227191,NULL,4268,4268,NULL,2545676,2545676,41178,41178,423344,423344,NULL,6775254,6775254,NULL,832151,832151,NULL,67755,67755,NULL,169479,169479,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,171628,56123,227751,636150,21213491,21849641
Biggs,1167,2020,NULL,183761,183761,NULL,2547,2547,NULL,222001,222001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26555,26555,NULL,NULL,39200,39200,NULL,NULL,NULL,NULL,19890,19890,NULL,7229,7229,NULL,3584,3584,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39200,465567,504767
Bishop,1168,2020,NULL,559746,559746,NULL,NULL,NULL,NULL,351443,351443,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2043809,2043809,NULL,NULL,NULL,NULL,NULL,2630318,2630318,NULL,13199,13199,NULL,56227,56227,NULL,9775,9775,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,441144,NULL,441144,441144,5664517,6105661
Blue Lake,1169,2020,NULL,133612,133612,NULL,1907,1907,NULL,121192,121192,NULL,NULL,NULL,NULL,NULL,630,630,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33718,33718,32375,32375,36256,36256,NULL,619,619,NULL,38834,38834,NULL,14563,14563,NULL,1507,1507,NULL,29466,29466,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68631,376048,444679
Blythe,1170,2020,NULL,865230,865230,NULL,6089,6089,NULL,1495366,1495366,NULL,NULL,NULL,NULL,NULL,3830,3830,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120405,120405,NULL,NULL,NULL,NULL,126508,126508,NULL,11,11,NULL,1730166,1730166,NULL,NULL,1289169,1289169,NULL,1222998,1222998,NULL,683086,683086,NULL,88494,88494,NULL,24999,24999,NULL,NULL,NULL,500,NULL,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,156400,156400,1289669,6523582,7813251
Bradbury,1171,2020,NULL,461751,461751,NULL,17859,17859,NULL,140486,140486,NULL,NULL,NULL,NULL,NULL,-62,-62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6945,6945,NULL,1075,1075,17204,17204,53109,53109,NULL,NULL,NULL,NULL,125627,125627,NULL,35412,35412,NULL,19714,19714,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70313,808807,879120
Brawley,1172,2020,NULL,2052481,2052481,NULL,NULL,NULL,NULL,2434155,2434155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,490184,490184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3124017,3124017,NULL,NULL,3423532,3423532,NULL,412288,412288,NULL,651424,651424,NULL,50178,50178,NULL,NULL,NULL,NULL,1997173,1997173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,3423532,11211900,14635432
Brea,1173,2020,NULL,7478105,7478105,NULL,NULL,NULL,NULL,4455881,4455881,2867980,2867980,NULL,NULL,NULL,138612,138612,NULL,NULL,NULL,NULL,86189,86189,NULL,5127774,5127774,NULL,NULL,NULL,1339093,NULL,1339093,NULL,NULL,NULL,NULL,21495924,21495924,NULL,NULL,1033184,1033184,NULL,1352527,1352527,NULL,2485834,2485834,NULL,1036931,1036931,NULL,430231,430231,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,5240257,44088008,49328265
Brentwood,1174,2020,NULL,13864519,13864519,NULL,332854,332854,NULL,4881334,4881334,525642,525642,NULL,NULL,NULL,-21222,-21222,NULL,-13721,-13721,NULL,NULL,NULL,NULL,1040974,1040974,6411787,NULL,6411787,NULL,90012,90012,NULL,NULL,NULL,NULL,8555697,8555697,NULL,NULL,1037845,1037845,NULL,505956,505956,NULL,1461483,1461483,NULL,879235,879235,NULL,473351,473351,NULL,NULL,NULL,5642223,NULL,5642223,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13617497,32050472,45667969
Brisbane,1175,2020,NULL,2869402,2869402,NULL,93242,93242,NULL,361553,361553,NULL,NULL,NULL,NULL,NULL,-1974,-1974,NULL,NULL,NULL,NULL,745489,745489,NULL,448297,448297,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6600372,6600372,NULL,NULL,21600,21600,NULL,2071824,2071824,NULL,899576,899576,NULL,4232500,4232500,NULL,177483,177483,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,311704,311704,21600,18809468,18831068
Buellton,1176,2020,NULL,1599958,1599958,NULL,NULL,NULL,NULL,517374,517374,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2536781,2536781,44643,44643,442460,442460,NULL,2548842,2548842,NULL,299751,299751,NULL,NULL,NULL,NULL,48143,48143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,487103,7550849,8037952
Buena Park,1177,2020,NULL,7308559,7308559,NULL,144358,144358,NULL,8990155,8990155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,898586,898586,NULL,3216239,3216239,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24154145,24154145,NULL,NULL,1562511,1562511,NULL,5312725,5312725,NULL,1875280,1875280,NULL,1054615,1054615,NULL,251386,251386,NULL,2642136,2642136,272039,NULL,272039,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1834550,55848184,57682734
Burbank,1178,2020,NULL,34253501,34253501,NULL,744659,744659,NULL,11544302,11544302,NULL,NULL,NULL,NULL,NULL,703591,703591,NULL,80905,80905,NULL,711042,711042,NULL,6621226,6621226,NULL,NULL,NULL,NULL,392310,392310,NULL,128623,128623,NULL,36508357,36508357,6662759,6662759,NULL,NULL,NULL,9343816,9343816,NULL,1753632,1753632,NULL,2591366,2591366,NULL,667775,667775,NULL,16760543,16760543,NULL,NULL,NULL,NULL,NULL,NULL,2812835,2812835,NULL,NULL,NULL,11799910,11799910,9475594,134605558,144081152
Burlingame,1179,2020,NULL,16630088,16630088,NULL,422675,422675,NULL,3559341,3559341,NULL,NULL,NULL,NULL,NULL,-10040,-10040,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14637446,14637446,NULL,NULL,1280293,1280293,NULL,20416543,20416543,NULL,1661397,1661397,NULL,879013,879013,NULL,534517,534517,NULL,NULL,NULL,2404730,NULL,2404730,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2678346,2678346,3685023,61409326,65094349
Calabasas,1180,2020,NULL,8084344,8084344,NULL,NULL,NULL,NULL,2619375,2619375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,413106,NULL,413106,NULL,NULL,NULL,NULL,5979032,5979032,NULL,NULL,1440250,1440250,NULL,1571867,1571867,NULL,873714,873714,NULL,NULL,NULL,NULL,264328,264328,NULL,2854143,2854143,169552,NULL,169552,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022908,22246803,24269711
Calexico,1181,2020,NULL,2006992,2006992,NULL,NULL,NULL,NULL,3110247,3110247,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,695673,695673,NULL,NULL,NULL,NULL,134038,134038,NULL,NULL,NULL,NULL,6912608,6912608,NULL,NULL,2529951,2529951,NULL,310913,310913,NULL,746736,746736,NULL,762979,762979,NULL,29070,29070,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2529951,14709256,17239207
California City,1182,2020,NULL,1354894,1354894,NULL,NULL,NULL,NULL,666000,666000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,612202,612202,NULL,NULL,NULL,NULL,NULL,77624,77624,NULL,429067,429067,NULL,493157,493157,NULL,280244,280244,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7201469,NULL,7201469,7201469,3913188,11114657
Calimesa,1183,2020,NULL,2770587,2770587,NULL,NULL,NULL,NULL,980437,980437,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,948672,948672,NULL,NULL,NULL,NULL,NULL,72640,72640,NULL,444372,444372,NULL,49610,49610,NULL,102903,102903,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5369221,5369221
Calipatria,1184,2020,NULL,46925,46925,NULL,NULL,NULL,NULL,722479,722479,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42560,NULL,42560,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,235416,235416,NULL,NULL,NULL,NULL,NULL,13123,13123,NULL,37441,37441,NULL,NULL,NULL,NULL,1378,1378,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21864,21864,42560,1078626,1121186
Calistoga,1185,2020,NULL,2195794,2195794,NULL,NULL,NULL,NULL,745400,745400,NULL,NULL,NULL,NULL,NULL,26411,26411,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,954456,954456,NULL,NULL,647638,647638,NULL,4704800,4704800,NULL,224257,224257,NULL,177562,177562,NULL,26476,26476,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,647638,9055156,9702794
Camarillo,1186,2020,NULL,11495684,11495684,NULL,188280,188280,NULL,6751459,6751459,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178228,178228,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13331297,13331297,NULL,NULL,2598798,2598798,NULL,2227001,2227001,NULL,2944821,2944821,NULL,1372952,1372952,NULL,597215,597215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2598798,39086937,41685735
Campbell,1187,2020,NULL,11213827,11213827,NULL,NULL,NULL,NULL,5059826,5059826,1098264,1098264,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,232935,232935,NULL,899678,899678,NULL,NULL,NULL,NULL,1263615,1263615,NULL,NULL,NULL,NULL,13021745,13021745,NULL,NULL,1278766,1278766,NULL,3144208,3144208,NULL,3527926,3527926,NULL,664071,664071,NULL,566794,566794,NULL,NULL,NULL,NULL,50505,50505,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9375,9375,2377030,39654505,42031535
Canyon Lake,1188,2020,NULL,1883557,1883557,NULL,15336,15336,NULL,958272,958272,NULL,NULL,NULL,NULL,NULL,52489,52489,NULL,770,770,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21453,21453,NULL,NULL,NULL,NULL,326534,326534,NULL,NULL,203882,203882,NULL,52132,52132,NULL,357732,357732,NULL,128162,128162,NULL,105481,105481,NULL,945807,945807,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,203882,4847725,5051607
