csvData
rank,name,pop2022,pop2010,growth,density,aland_sqmi
436,Tehachapi,12643,14414,-0.1229,1246,10.1500
437,Fortuna,12634,11926,0.0594,2407,5.2480
438,Grover Beach,12609,13156,-0.0416,5454,2.3120
439,Kingsburg,12580,11382,0.1053,3394,3.7070
440,Lakeland Village,12528,11541,0.0855,1427,8.7810
441,Sun Village,12501,11565,0.0809,1157,10.8040
442,Lake Arrowhead,12397,12424,-0.0022,699,17.7260
443,San Marino,12387,13147,-0.0578,3289,3.7660
444,Scotts Valley,12352,11580,0.0667,2675,4.6180
445,Commerce,12290,12823,-0.0416,1880,6.5380
446,Signal Hill,12014,11016,0.0906,5483,2.1910
447,Winton,11929,10613,0.1240,3923,3.0410
448,Half Moon Bay,11889,11324,0.0499,1850,6.4270
449,Marina del Rey,11875,8866,0.3394,13840,0.8580
450,Los Alamitos,11846,11449,0.0347,2945,4.0230
451,Crestline,11826,10770,0.0981,853,13.8600
452,Tamalpais-Homestead Valley,11644,10735,0.0847,2485,4.6850
453,Fairview,11609,10003,0.1606,4220,2.7510
454,Anderson,11601,9932,0.1680,1650,7.0310
455,Quartz Hill,11555,10912,0.0589,3070,3.7640
456,Garden Acres,11548,10648,0.0845,4469,2.5840
457,Hillsborough,11499,10825,0.0623,1858,6.1900
458,View Park-Windsor Hills,11487,11075,0.0372,6240,1.8410
459,Diamond Springs,11407,11037,0.0335,686,16.6400
460,Piedmont,11390,10667,0.0678,6700,1.7000
461,Healdsburg,11358,11254,0.0092,2544,4.4640
462,Alum Rock,11344,15536,-0.2698,13473,0.8420
463,La Riviera,11342,10802,0.0500,5969,1.9000
464,Sierra Madre,11338,10917,0.0386,3839,2.9530
465,Canyon Lake,11186,10561,0.0592,2859,3.9120
466,Home Gardens,11129,11570,-0.0381,7360,1.5120
467,Clayton,11104,10897,0.0190,2892,3.8400
468,Country Club,11057,9379,0.1789,5768,1.9170
469,Morro Bay,10861,10234,0.0613,2040,5.3240
470,Placerville,10819,10389,0.0414,1853,5.8400
471,Sonoma,10757,10648,0.0102,3920,2.7440
472,Muscoy,10735,10644,0.0085,3556,3.0190
473,Rossmoor,10701,10244,0.0446,6935,1.5430
474,Delhi,10636,10755,-0.0111,3030,3.5100
475,Rio Vista,10533,7360,0.4311,1600,6.5820
476,Calimesa,10456,7879,0.3271,704,14.8580
477,San Diego Country Estates,10453,10109,0.0340,623,16.7840
478,Corte Madera,10416,9253,0.1257,3296,3.1600
